id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
3,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
4,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,18 Delphini b,249,10.3 Jupiters,5.51048,2008
7,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,24 Bootis b,313,0.91 Jupiters,5.59,2018
9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
15,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
16,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
19,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
20,42 Draconis b,296,3.88 Jupiters,4.8262,2008
21,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
22,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
23,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
24,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
25,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
26,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
28,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
29,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,18 Delphini b,249,10.3 Jupiters,5.51048,2008
32,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,24 Bootis b,313,0.91 Jupiters,5.59,2018
34,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,51 Eridani b,97,2 Jupiters,5.21149,2015
51,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
52,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
53,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
54,55 Cancri d,41,3.878 Jupiters,5.95084,2002
55,55 Cancri e,41,7.99 Earths,5.95084,2004
56,55 Cancri f,41,0.141 Jupiters,5.95084,2007
57,61 Virginis b,28,5.1 Earths,4.6955,2009
58,61 Virginis c,28,18.2 Earths,4.6955,2009
59,61 Virginis d,28,22.9 Earths,4.6955,2009
60,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
61,70 Virginis b,58,7.49 Jupiters,4.96808,1996
62,75 Ceti b,271,3 Jupiters,5.3532,2012
63,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
64,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
65,81 Ceti b,330,5.3 Jupiters,5.64307,2008
66,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
67,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
68,AB Aurigae b,529,9 Jupiters,7.076,2022
69,AB Pictoris b,163,13.5 Jupiters,9.13,2005
70,AF Leporis b,88,5.237 Jupiters,6.332,2023
71,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
72,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
73,AU Microscopii b,32,20.12 Earths,8.81,2020
74,AU Microscopii c,32,9.6 Earths,8.81,2021
75,b Centauri AB b,320,10.9 Jupiters,4.01,2021
76,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
77,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
78,BD-06 1339 b,66,8.5 Earths,9.7,2013
79,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
80,BD-08 2823 b,135,12.7132 Earths,9.86,2009
81,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
82,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
83,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
84,BD-11 4672 c,89,15.37 Earths,10.03,2020
85,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
86,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
87,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
88,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
89,BD-17 63 b,112,5.1 Jupiters,9.62,2008
90,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
91,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
92,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
93,BD+20 594 b,585,22.2481 Earths,10.849,2016
94,BD+45 564 b,175,1.36 Jupiters,9.67,2021
95,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
96,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
97,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
98,BD+55 362 b,171,0.72 Jupiters,9.38,2021
99,BD+60 1417 b,147,15 Jupiters,9.374,2021
100,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
101,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
102,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
103,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
104,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
105,CD Ceti b,28,3.95 Earths,13.95,2020
106,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
107,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
108,CHXR 73 b,621,12.569 Jupiters,,2006
109,CI Tauri b,515,11.6 Jupiters,13.642,2019
110,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
111,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
112,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
113,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
114,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
115,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
116,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
117,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
118,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
119,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
120,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
121,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
122,CoRoT-20 c,2753,17 Jupiters,14.63,2018
123,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
124,CoRoT-22 b,2046,12.2 Earths,13.82,2014
125,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
126,CoRoT-24 b,1930,5.7 Earths,15.383,2014
127,CoRoT-24 c,1930,28 Earths,15.383,2014
128,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
129,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
130,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
131,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
132,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
133,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
134,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
135,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
136,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
137,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
138,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
139,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
140,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
141,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
142,CoRoT-7 b,522,4.07661 Earths,11.728,2009
143,CoRoT-7 c,522,8.4 Earths,11.728,2009
144,CoRoT-7 d,522,17.142 Earths,11.728,2022
145,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
146,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
147,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
148,CT Chamaleontis b,622,17 Jupiters,12.335,2007
149,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
150,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
151,DH Tauri b,440,11 Jupiters,13.98,2004
152,DMPP-1 b,204,24.27 Earths,7.98,2019
153,DMPP-1 c,204,9.6 Earths,7.98,2019
154,DMPP-1 d,204,3.35 Earths,7.98,2019
155,DMPP-1 e,204,4.13 Earths,7.98,2019
156,DMPP-2 b,450,0.437 Jupiters,8.57,2019
157,DMPP-3 A b,148,2.58 Earths,9.066,2019
